path,en,it
root/2/the_final_mask_content/1/driss/0/5/25/c-2/10/12/c-0/8,I accept Driss' response.  I suppose even the Gliding cannot be the answer to all things.,Accetto la risposta di Driss. Suppongo che nemmeno il Volo possa essere la risposta a tutto.
root/2/the_final_mask_content/1/driss/0/5/25/c-2/10/12/c-1/3,"I decide not to pursue it further, and instead let suspicion sit in my heart and mind for the rest of my life, forever.","Decido di non insistere oltre, e di lasciare che il sospetto resti nel mio cuore e nella mia mente per tutta la vita, per sempre."
root/2/the_final_mask_content/1/driss/0/5/25/c-3/2,"<<""See you later."">>","<<""A dopo."">>"
root/2/the_final_mask_content/1/hilal/0/0/18/s0/3,"<<""Oh, Sable! It's so good to have you home. I've thought about you so much, just imagining all the excitement!"">>","<<""Oh, Sable! È così bello averti a casa. Ho pensato tanto a te, immaginandomi tutta l'eccitazione!"">>"
root/2/the_final_mask_content/1/hilal/0/0/18/s0/5,"<<""Every time we passed a cliffside, I thought 'I bet Sable's just hovering everywhere'."">>","<<""Ogni volta che passavamo accanto a una scogliera, pensavo 'scommetto che Sable starà planando ovunque'."">>"
root/2/the_final_mask_content/1/hilal/0/0/18/s1/2,"<<""How are you doing, Sable?"">>","<<""Come stai, Sable?"">>"
root/2/the_final_mask_content/1/hilal/0/2/2,What do you think of the Climber's Mask?,Cosa pensi della Maschera dell'Arrampicata?
root/2/the_final_mask_content/1/hilal/0/2/9,Have you heard of Llhor the Fabulist?,Hai sentito parlare di Llhor la Favolatrice?
root/2/the_final_mask_content/1/hilal/0/2/17,I should catch up with the others.,Dovrei aggiornare gli altri.
root/2/the_final_mask_content/1/hilal/0/2/21/c-0/3,"I ask Hilal what they think of the Climber's Mask? They light up straight away, which I think I should have expected.","Chiedo a Hilal cosa pensa della Maschera dell'Arrampicata. Si illumina subito, cosa che immagino avrei dovuto aspettarmi."
root/2/the_final_mask_content/1/hilal/0/2/21/c-0/5,"<<""A <i>brilliant</i> Mask. There's a lot of really good masks, obviously, but Climbing?"">>","<<""Una Maschera <i>splendida</i>. Ce ne sono molte davvero buone, ovviamente, ma l'Arrampicata?"">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-0/7,"<<""If you ask me, the <i>worst</i> part of the Gliding's end is losing the Perpetual stone. To hover forever, to fear nothing from heights or falls-- <i>that</i> is an uncommon freedom! And you have to let it go!"">>","<<""Se chiedi a me, la cosa <i>peggiore</i> della fine del Volo è perdere la pietra del Perpetuo. Planare per sempre, non temere altezze né cadute — <i>quella</i> è una libertà rara! E devi rinunciarci!"">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-0/9,"<<""To me, Climbing is the closest thing one gets to keeping that connection between oneself and the Perpetual. Just as the stone does, it banishes fear and risk, lets you explore the world's great vertical spaces with knowledge and fortitude."">>","<<""Per me, l'Arrampicata è la cosa più vicina al mantenere quella connessione tra sé e il Perpetuo. Proprio come la pietra, bandisce paura e rischio, ti permette di esplorare i grandi spazi verticali del mondo con conoscenza e fortezza."">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-0/11,"<<""I think it's a great mask. And probably would have been my choice, had I not fallen so much in love with the Ibexii."">>","<<""Credo sia una grande maschera. E sarebbe probabilmente stata la mia scelta, se non mi fossi innamorato così tanto degli Ibexii."">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-0/14,"I thank Hilal for their thoughts, and again for the stone they gave me so long ago.","Ringrazio Hilal per i suoi pensieri, e di nuovo per la pietra che mi ha dato tanto tempo fa."
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/3,I ask Hilal if they've ever heard of Llhor the Fabulist.,Chiedo a Hilal se ha mai sentito parlare di Llhor la Favolatrice.
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/5,"<<""Oh, of course I have! Not much for travel, you know, but not two years ago I made a special trip to Eccria just to see her. Why?"">>","<<""Oh, certo che l'ho sentita! Non amo molto viaggiare, sai, ma non due anni fa ho fatto un viaggio speciale a Eccria solo per vederla. Perché?"">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/7,"I tell Hilal I met her, out in the desert, and that we spent a whole evening talking about life, and poetry. I add that I think I may have inspired some original work.","Dico a Hilal che l'ho incontrata, nel deserto, e che abbiamo passato un'intera serata a parlare di vita e poesia. Aggiungo che credo di aver ispirato del lavoro originale."
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/10,"<<""That's amazing! So you think-- Sorry, I'm so excited!"">>","<<""È incredibile! Quindi pensi-- scusa, sono così eccitato!"">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/12,"<<""So you think it's possible that next time I see Llhor, she might actually read a poem that <i>you</i> inspired?"">>","<<""Quindi pensi sia possibile che la prossima volta che vedrò Llhor, lei legga davvero una poesia ispirata da <i>te</i>?"">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/15,"I say yes, that it's quite possible.","Dico di sì, che è molto possibile."
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/17,"<<""Now <i>that</i> is a Gliding. Who <i>cares</i> what Mask you choose! You got to hover around the world and you inspired Llhor the Fabulist to write a new poem."">>","<<""Ora <i>questo</i> sì che è un Volo. Chi se ne <i>frega</i> di che Maschera scegli! Hai planato per il mondo e hai ispirato Llhor la Favolatrice a scrivere una nuova poesia."">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/19,"<<""If I were you, I'd put on my <i>retirement</i> mask because I'd be done!"">>","<<""Se fossi in te, mi metterei la maschera della <i>pensione</i> perché avrei finito!"">>"
root/2/the_final_mask_content/1/hilal/0/2/21/c-1/23,"We laugh together. And it feels really, really good.","Ridiamo insieme. E si sta davvero, davvero bene."
root/2/the_final_mask_content/1/hilal/0/2/21/c-2/2,"<<""Of course!"">>","<<""Certo!"">>"
root/2/the_final_mask_content/1/sizo/0/1,I greet Sizo.,Saluto Sizo.
root/2/the_final_mask_content/1/sizo/0/4,"<<""How do you do, Clan-child?"">>","<<""Come stai, figlia del clan?"">>"
root/2/the_final_mask_content/1/sizo/0/6/2,Talk about Simoon.,Parla di Simoon.
root/2/the_final_mask_content/1/sizo/0/6/8,I met a lot of your Machinist friends!,Ho incontrato molti dei tuoi amici Macchinisti!
root/2/the_final_mask_content/1/sizo/0/6/14,Do you think I should choose the Machinist Mask?,Pensi che dovrei scegliere la Maschera del Macchinista?
root/2/the_final_mask_content/1/sizo/0/6/21,Speak to someone else.,Parla con qualcun altro.
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/2,"<<""How was your companion?"">>","<<""Com'è stata la tua compagna?"">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/2,A smooth glide.,Un volo fluido.
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/8,We had a few bumpy moments.,Abbiamo avuto qualche momento difficile.
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/14,I would have been lonely without Simoon.,Sarei stata sola senza Simoon.
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/18/c-0/2,"<<""Glad to hear it. Simoon has accompanied and taken care of generations of Ibexii, Jadi herself rode Simoon out to the Redsee on her Gliding."">>","<<""Felice di sentirlo. Simoon ha accompagnato e si è presa cura di generazioni di Ibexii, Jadi stessa cavalcò Simoon fino al Redsee durante il suo Volo."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/18/c-1/2,"<<""The sign of a strong relationship that you come back in one piece. Simoon must have taken good care of you."">>","<<""Il segno di un rapporto forte è tornare tutta intera. Simoon deve essersi presa buona cura di te."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/18/c-2/2,"<<""Of course, the desert can be a desolate and sparse place. Travelling with a partner is the only way to keep the mind at peace."">>","<<""Certo, il deserto può essere un luogo desolato e rado. Viaggiare con una compagna è l'unico modo per mantenere la mente in pace."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/18/g-0/2,What will happen to Simoon now?,Che ne sarà di Simoon ora?
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/18/g-0/6/c-3/2,"<<""Well, it's almost time for Saima's Gliding. Simoon will likely accompany her across the dunes."">>","<<""Beh, è quasi ora del Volo di Saima. Simoon probabilmente l'accompagnerà tra le dune."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-0/4/18/g-0/6/c-3/4,"I feel a pang of melancholy as I think about losing Simoon. It had to happen one day, nobody truly owns a bike in the Ibexii, but is merely accompanied by one. I am grateful to have at least had that blessing.","Sento una fitta di malinconia al pensiero di perdere Simoon. Doveva succedere un giorno: nessuno possiede davvero una hoverbike tra gli Ibexii, ne è semplicemente accompagnato. Sono grata di aver almeno avuto quella benedizione."
root/2/the_final_mask_content/1/sizo/0/6/25/c-1/3,I tell Sizo I met a lot of her friends on my travels.,Dico a Sizo che ho incontrato molti suoi amici durante i viaggi.
root/2/the_final_mask_content/1/sizo/0/6/25/c-1/5,"<<""I know this, and I hope they were good to you, and to Simoon."">>","<<""Lo so, e spero siano stati buoni con te e con Simoon."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-1/7,"I tell her they were and she seems to take a bit of pride in that, which is rare to see in Sizo.","Le dico di sì e sembra trarne un po' di orgoglio, cosa rara da vedere in Sizo."
root/2/the_final_mask_content/1/sizo/0/6/25/c-1/9,"<<""Some really great Machinists out there. I like them a lot."">>","<<""Alcuni Macchinisti davvero in gamba là fuori. Mi piacciono molto."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/3,"I ask if Sizo thinks I ought to choose the Machinist Mask, that I might join her order. She crosses her arms and takes time to think.","Chiedo se Sizo pensa che dovrei scegliere la Maschera del Macchinista, per unirmi al suo ordine. Incrocia le braccia e si prende del tempo per pensare."
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/6,"<<""Some... will tell you that the life of a Machinist is lonely."">>","<<""Alcuni... ti diranno che la vita di un Macchinista è solitaria."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/9,"<<""It isn't. And not only because we are assigned to clans, who so often welcome us into their number. No it's... it's more. It's because we are never truly alone."">>","<<""Non lo è. E non solo perché siamo assegnati ai clan, che spesso ci accolgono tra loro. No, è... è di più. È perché non siamo mai davvero soli."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/11,"<<""As you were never truly alone on your Gliding. You went with Simoon."">>","<<""Come tu non sei mai stata davvero sola durante il Volo. Sei andata con Simoon."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/14,"I think of the moments where I sat looking at some map, or hiding from some foul weather, or trying to get over a sudden bout of very powerful homesickness, and Simoon gave a little hum that I could feel up through my legs.","Penso ai momenti in cui sedevo guardando una mappa, o riparandomi dal maltempo, o cercando di superare un attacco improvviso di nostalgia fortissima, e Simoon emetteva un lieve ronzio che sentivo salire dalle gambe."
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/16,"<<""You have a very special bike, Sable."">>","<<""Hai una hoverbike molto speciale, Sable."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/20,I nod along with Sizo.,Annuisco insieme a Sizo.
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/22,"<<""As you returned, I sat on the tower and heard Simoon's purr grow to a roar, and in it the traces of those whose work has helped give her shape. She speaks with many voices, now, and that resonance..."">>","<<""Mentre tornavi, ero seduta sulla torre e ho sentito il fusa di Simoon crescere fino al ruggito, e in esso le tracce di coloro il cui lavoro ha contribuito a darle forma. Parla con molte voci, ora, e quella risonanza..."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/24,Sizo seems to shiver.,Sizo sembra rabbrividire.
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/26,"<<""It's why we do what we do."">>","<<""È per questo che facciamo ciò che facciamo."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/28,"<<""So if that appeals, then... I can only recommend it."">>","<<""Quindi se questo ti attrae, allora... posso solo consigliartelo."">>"
root/2/the_final_mask_content/1/sizo/0/6/25/c-2/31,I thank Sizo for her counsel.,Ringrazio Sizo per il suo consiglio.
root/2/the_final_mask_content/1/sizo/0/6/25/c-3/2,"<<""Farewell."">>","<<""Addio."">>"
root/2/the_final_mask_content/1/saima/0/0/18/s0/2,"<<""So you came back."">>","<<""Quindi sei tornata."">>"
root/2/the_final_mask_content/1/saima/0/0/18/s0/5,Saima crosses her arms. A challenge.,Saima incrocia le braccia. Una sfida.
root/2/the_final_mask_content/1/saima/0/0/18/s0/8,"I tell Saima I had to come back because when I left, some miniscule little beetle-hunting, part-stealing <i>menace</i> threw a fit about it and couldn't stop crying because she missed me so much.","Dico a Saima che ho dovuto tornare perché quando sono partita, una <i>pesticciola</i> minuscola che caccia scarabei e ruba pezzi ha fatto un capriccio e non riusciva a smettere di piangere perché le mancavo tantissimo."
root/2/the_final_mask_content/1/saima/0/0/18/s0/10,She nods.,Annuisce.
root/2/the_final_mask_content/1/saima/0/0/18/s0/13,"<<""Yes, Jadi took it very hard!"">>","<<""Sì, Jadi l'ha presa malissimo!"">>"
root/2/the_final_mask_content/1/saima/0/0/18/s0/16,"I can't help it. I laugh, and I think in so doing I let her win. I tell her I missed her.","Non posso farne a meno. Rido, e così facendo credo di lasciarla vincere. Le dico che mi è mancata."
root/2/the_final_mask_content/1/saima/0/0/18/s0/18,"<<""I missed you too, Sable! I'm happy you came back."">>","<<""Mi sei mancata anche tu, Sable! Sono felice che tu sia tornata."">>"
root/2/the_final_mask_content/1/saima/0/0/18/s0/20,"Though I can practically see the pout beneath her mask, I'm impressed at how genuine she's able to sound:","Anche se quasi vedo il broncio sotto la maschera, sono colpita da quanto riesca a suonare autentica:"
root/2/the_final_mask_content/1/saima/0/0/18/s0/22,"<<""Even if you don't end up staying long."">>","<<""Anche se finisci per non restare a lungo."">>"
root/2/the_final_mask_content/1/saima/0/0/18/s1/2,It's good to see Saima again.,Fa piacere rivedere Saima.
root/2/the_final_mask_content/1/saima/0/2/2,Are you going to cry if I leave again?,Piangerai se me ne vado di nuovo?
root/2/the_final_mask_content/1/saima/0/2/8,I'm thinking of choosing the Beetle Mask!,Sto pensando di scegliere la Maschera dello Scarabeo!
root/2/the_final_mask_content/1/saima/0/2/15,Speak to someone else.,Parla con qualcun altro.
root/2/the_final_mask_content/1/saima/0/2/19/c-0/3,I ask Saima if she's going to cry again if I leave.,Chiedo a Saima se piangerà di nuovo se me ne vado.
root/2/the_final_mask_content/1/saima/0/2/19/c-0/5,"<<""I don't think so. For two reasons!"">>","<<""Non credo. Per due ragioni!"">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-0/7,She counts them off on her fingers.,Le conta sulle dita.
root/2/the_final_mask_content/1/saima/0/2/19/c-0/10,"<<""One because it's already happened once so now I'm used to it."">>","<<""Uno: è già successo una volta quindi ora ci sono abituata."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-0/13,"<<""Two because soon it's going to be <i>my</i> Gliding which I'm going to stay on forever! So I can just go on <i>my</i> bike and chase you down, wherever you go."">>","<<""Due: presto sarà il <i>mio</i> Volo e ci resterò per sempre! Così potrò prendere la <i>mia</i> hoverbike e darti la caccia ovunque vai."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-0/16,"I tell Saima she can't stay on the Gliding forever, and that she'll have to choose a mask.","Dico a Saima che non può restare in Volo per sempre, e che dovrà scegliere una maschera."
root/2/the_final_mask_content/1/saima/0/2/19/c-0/19,"<<""Then I'll choose the Mask of the <i>Bounty Hunter</i>."">>","<<""Allora sceglierò la Maschera del <i>Cacciatore di Taglie</i>."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-0/22,I say that that isn't a real Mask.,Dico che quella non è una Maschera vera.
root/2/the_final_mask_content/1/saima/0/2/19/c-0/25,"<<""Yes it is."">>","<<""Sì che lo è."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-0/28,I say it's not.,Dico che non lo è.
root/2/the_final_mask_content/1/saima/0/2/19/c-0/30,She shrugs.,Fa spallucce.
root/2/the_final_mask_content/1/saima/0/2/19/c-0/33,"<<""Guess you didn't find it."">>","<<""Significa che non l'hai trovata."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-0/36,"I tell her <i>no</i>, it isn't real. And that if it were real I <i>would</i> have found it.","Le dico <i>no</i>, non è vera. E che se fosse vera l'<i>avrei</i> trovata."
root/2/the_final_mask_content/1/saima/0/2/19/c-0/39,"<<""Don't think so. It's really hard to find. That's part of it. To become a Hunter you have to <i>be</i> a Hunter."">>","<<""Non credo. È molto difficile da trovare. Fa parte del gioco. Per diventare un Cacciatore devi <i>essere</i> un Cacciatore."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-0/42,"I ready my next response, but choose to hold my tongue lest I lose what maturity I gained on my Gliding.","Preparo la mia prossima risposta, ma scelgo di trattenere la lingua per non perdere la maturità conquistata durante il Volo."
root/2/the_final_mask_content/1/saima/0/2/19/c-0/44,Saima makes a broad gesture that I think is meant to emulate the nocking of an arrow in a bow.,Saima fa un grande gesto che penso voglia imitare l'incoccare una freccia in un arco.
root/2/the_final_mask_content/1/saima/0/2/19/c-0/46,"<<""Good luck, Sable."">>","<<""Buona fortuna, Sable."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/3,I ask what Saima would think if I chose the Beetle Mask.,Chiedo a Saima cosa penserebbe se scegliessi la Maschera dello Scarabeo.
root/2/the_final_mask_content/1/saima/0/2/19/c-1/6,"<<""I think you'd look pretty silly."">>","<<""Credo sembreresti piuttosto buffa."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/9,"<<""But you'd look silly in every mask."">>","<<""Ma sembreresti buffa in ogni maschera."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/11,"Good, love that. Missed this one, definitely.","Bene, mi piace. Lei mi è mancata di sicuro."
root/2/the_final_mask_content/1/saima/0/2/19/c-1/13,"<<""I think... I think it would be a little like getting to play all the time, and have a lot of pets. Plus maybe you get to speak <i>beetle language</i>!"">>","<<""Penso... penso sarebbe come poter giocare tutto il tempo, e avere tanti animaletti. E forse potresti parlare la <i>lingua degli scarabei</i>!"">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/15,"<<""I always I see beetles go up to each other and do dances and click around and hiss and everything and maybe they're saying things."">>","<<""Vedo sempre gli scarabei avvicinarsi tra loro e fare balletti e ticchettare e sibilare e forse si stanno dicendo qualcosa."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/17,"<<""So if you want to speak beetle, you could do that."">>","<<""Quindi se vuoi parlare scarabeo, potresti farlo."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/20,She shrugs.,Fa spallucce.
root/2/the_final_mask_content/1/saima/0/2/19/c-1/22,"<<""I don't know. All Masks are different and it's not really going to matter once I'm on my Gliding and get to come and visit you."">>","<<""Non so. Tutte le Maschere sono diverse e non importerà più, una volta che sarò in Volo e potrò venire a trovarti."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/25,I ask Saima if she means come and <i>bother</i> me.,Chiedo a Saima se intende venire a <i>importunarmi</i>.
root/2/the_final_mask_content/1/saima/0/2/19/c-1/27,"<<""If you're bothered, that's you. But I'm going to come and visit."">>","<<""Se ti dà fastidio, è un problema tuo. Ma io verrò a trovarti."">>"
root/2/the_final_mask_content/1/saima/0/2/19/c-1/30,I can't help but laugh. I tell her I'm looking forward to it.,Non posso fare a meno di ridere. Le dico che non vedo l'ora.
root/2/the_final_mask_content/1/saima/0/2/19/c-2/2,"<<""Bye then."">>","<<""Allora ciao."">>"
root/2/the_final_mask_content/1/elaria/0/0/18/s0/2,"<<""Hey Sable!"">>","<<""Ehi Sable!"">>"
root/2/the_final_mask_content/1/elaria/0/0/18/s0/4,"It's strange how children change so much over such a short period. Elaria has grown, but she'll always be a child to me.","È strano come i bambini cambino tanto in così poco tempo. Elaria è cresciuta, ma per me sarà sempre una bambina."
root/2/the_final_mask_content/1/elaria/0/0/18/s1/2,I say hello to Elaria.,Saluto Elaria.
root/2/the_final_mask_content/1/elaria/0/2/2,You've grown!,Sei cresciuta!
root/2/the_final_mask_content/1/elaria/0/2/8,I did a lot of climbing out there.,Ho scalato molto là fuori.
root/2/the_final_mask_content/1/elaria/0/2/15,Speak to someone else.,Parla con qualcun altro.
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/2,"Elaria subconsciously stands a little taller and prouder as I say the words, I can't help but smile remembering all the times adults would say 'Oh how you've grown!' to me as a child.","Elaria, inconsciamente, si raddrizza un po' più alta e fiera mentre lo dico, e non posso fare a meno di sorridere ricordando tutte le volte che gli adulti mi dicevano 'Oh come sei cresciuta!' da bambina."
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/4,"<<""Well you've not grown at all."">>","<<""Beh tu non sei cresciuta per niente."">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/6,"<<""I haven't just grown, I can climb waaaaay higher now."">>","<<""Non sono solo cresciuta, ora arrampico moooolto più in alto."">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/8,"<<""Zeki hates it! It's great!"">>","<<""Zeki la odia! È fantastico!"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/10/2,Not all growth is external.,Non tutta la crescita è esterna.
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/10/8,You'll get there soon enough.,Ci arriverai presto.
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/10/12/c-0/2,"It feels like a hollow, defensive statement, but it's also true. Elaria doesn't look convinced.","Sembra una frase vuota e difensiva, ma è anche vera. Elaria non sembra convinta."
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/10/12/c-1/2,Elaria seems unimpressed.,Elaria non sembra impressionata.
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/10/12/g-0/0,"<<""Saima will leave for her Gliding soon, but at least you'll be back now!"">>","<<""Saima partirà presto per il suo Volo, ma almeno tu sarai tornata adesso!"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-0/10/12/g-0/2,I don't have the heart to tell her that I might not stay with the Ibexii. There's still time to decide so I hold back.,"Non ho il cuore di dirle che potrei non restare con gli Ibexii. C'è ancora tempo per decidere, quindi mi trattengo."
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/2,"<<""Oh!"">>","<<""Oh!"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/4,"<<""How high did you go!?"">>","<<""Quanto in alto sei salita?!"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/6,"<<""Did you touch a cloud?"">>","<<""Hai toccato una nuvola?"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/8,"<<""If I had a Gliding Stone, I would definitely touch a cloud."">>","<<""Se avessi una Pietra del Volo, di sicuro toccherei una nuvola."">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/10,I reveal that I got the Climbing Mask. Elaria seems to vibrate with excitement and jealousy.,Rivelo di aver ottenuto la Maschera dell'Arrampicata. Elaria sembra vibrare di eccitazione e gelosia.
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/12,"<<""I can't believe it!"">>","<<""Non ci credo!"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/14,"<<""You have to choose it!"">>","<<""Devi sceglierla!"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/16,"<<""You will choose it right?!"">>","<<""La sceglierai vero?!"">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/18,"<<""I mean, why wouldn't you? That would just be silly..."">>","<<""Cioè, perché non dovresti? Sarebbe solo stupido..."">>"
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/20,"I don't think I'll get a word in here, so I just let Elaria effusively speak at me for a while, enjoying her passion for something so particular.","Non credo riuscirò a infilare una parola, quindi lascio che Elaria mi parli addosso effusivamente per un po', godendomi la sua passione per qualcosa di così particolare."
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/22,"Being a climber is a pretty solitary existence for the most part. Mostly foraging for things that grow in the higher climes, fixing or salvaging from ships in high places.","Essere una scalatrice è un'esistenza piuttosto solitaria per la maggior parte. Soprattutto raccogliere cose che crescono in alta quota, riparare o recuperare cose dalle navi in luoghi elevati."
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/24,"But the sights you see, the places you get to go - it'll be like a continual Gliding at times.","Ma i panorami che vedi, i luoghi in cui arrivi — sarà come un Volo continuo a tratti."
root/2/the_final_mask_content/1/elaria/0/2/19/c-1/26,Will I be comfortable at those heights without the Gliding Stone?,Sarò a mio agio a quelle altezze senza la Pietra del Volo?
root/2/the_final_mask_content/1/elaria/0/2/19/c-2/2,"<<""Bye!"">>","<<""Ciao!"">>"
root/2/the_final_mask_content/1/zeki/0/0/18/s0/2,"<<""My child, welcome home."">>","<<""Bambina mia, bentornata a casa."">>"
root/2/the_final_mask_content/1/zeki/0/0/18/s0/4,"<<""Have you been taking care of yourself? You look rather boney. Are you well?"">>","<<""Ti sei presa cura di te? Sembri piuttosto magrolina. Stai bene?"">>"
root/2/the_final_mask_content/1/zeki/0/0/18/s0/6,Zeki fusses over me. She would always look for reasons to care for us.,Zeki si preoccupa per me. Trovava sempre motivi per prendersi cura di noi.
root/2/the_final_mask_content/1/zeki/0/0/18/s0/8,"<<""That's no good at all, not at all. We'll have to fix you up with some of Jadi's lamb stew."">>","<<""Non va bene per niente, per niente. Dovremo rimetterti in sesto con un po' di stufato d'agnello di Jadi."">>"
root/2/the_final_mask_content/1/zeki/0/0/18/s0/10,I am involuntarily salivating at the thought.,Mi sta venendo l'acquolina solo al pensiero.
root/2/the_final_mask_content/1/zeki/0/0/18/s0/12,It's good to be back.,È bello essere tornata.
root/2/the_final_mask_content/1/zeki/0/0/18/s1/2,Zeki greets me warmly.,Zeki mi saluta calorosamente.
root/2/the_final_mask_content/1/zeki/0/2/2,Where have you been?,Dove sei stata?
root/2/the_final_mask_content/1/zeki/0/2/8,I might choose the Entertainer's Mask.,Potrei scegliere la Maschera dell'Intrattenitore.
root/2/the_final_mask_content/1/zeki/0/2/15,Talk to someone else.,Parla con qualcun altro.
root/2/the_final_mask_content/1/zeki/0/2/19/c-0/2,"<<""After you left we headed to some older Ibexii camp sites - places we used before you were born!"">>","<<""Dopo che sei partita siamo andati in alcuni vecchi siti di accampamento Ibexii — posti che usavamo prima che tu nascessi!"">>"
root/2/the_final_mask_content/1/zeki/0/2/19/c-0/4,"<<""Going back, it was beautiful. The land flourishes when you leave it for so long. Each place, transformed with life and abundant with things to forage since we were last there."">>","<<""Tornarci è stato meraviglioso. La terra fiorisce se la lasci per così tanto. Ogni posto, trasformato dalla vita e abbondante di cose da raccogliere da quando eravamo lì."">>"
root/2/the_final_mask_content/1/zeki/0/2/19/c-0/6,"<<""Once we leave The Ewer, we will not be coming back for a long time. It needs time to recover from nourishing us."">>","<<""Una volta lasciato l'Ewer, non torneremo per molto tempo. Ha bisogno di tempo per riprendersi dal nutrirci."">>"
root/2/the_final_mask_content/1/zeki/0/2/19/c-1/2,"<<""Oh, an Entertainer's Mask - I see you were kept busy with young ones on your Gliding too."">>","<<""Oh, una Maschera dell'Intrattenitore — vedo che sei stata tenuta impegnata con i piccoli anche durante il Volo."">>"
root/2/the_final_mask_content/1/zeki/0/2/19/c-1/4,"<<""Everybody needs a bit of levity now and then, it's an important part of life, valued by many."">>","<<""Tutti hanno bisogno di un po' di leggerezza ogni tanto, è una parte importante della vita, apprezzata da molti."">>"
root/2/the_final_mask_content/1/zeki/0/2/19/c-1/6,"<<""But you know the Ibexii are not in a position to accommodate such trifles, fun and games are just that. If you pick this mask, you'll have to find a richer clan to join, we can't afford it."">>","<<""Ma sai che gli Ibexii non sono in posizione di accogliere tali frivolezze, divertimento e giochi sono solo questo. Se scegli questa maschera, dovrai trovare un clan più ricco a cui unirti, non possiamo permettercelo."">>"
